"""UNIQUE_ID""",user,"""X0""","""X1""","""X2""","""X3""","""X4""","""X5""","""X6""","""X7""","""X8""","""X9""","""Y0""","""Y1""","""Y2""","""Y3""","""Y4""","""Y5""","""Y6""","""Y7""","""Y8""","""Y9""","""Z0""","""Z1""","""Z2""","""Z3""","""Z4""","""Z5""","""Z6""","""Z7""","""Z8""","""Z9""","""XAVG""","""YAVG""","""ZAVG""","""XPEAK""","""YPEAK""","""ZPEAK""","""XABSOLDEV""","""YABSOLDEV""","""ZABSOLDEV""","""XSTANDDEV""","""YSTANDDEV""","""ZSTANDDEV""","""RESULTANT""",class
11.0,33,0.03,0.08,0.07,0.07,0.09,0.13,0.14,0.16,0.1,0.12,0.12,0.11,0.11,0.14,0.08,0.11,0.09,0.09,0.08,0.08,0.11,0.08,0.1,0.08,0.07,0.08,0.09,0.11,0.07,0.19,0.0,7.93,2.69,175.0,875.0,175.0,1.64,2.77,2.39,2.6,3.6,2.6,9.52,Downstairs
12.0,33,0.1,0.1,0.14,0.11,0.1,0.09,0.09,0.09,0.08,0.12,0.09,0.11,0.1,0.07,0.13,0.09,0.07,0.12,0.12,0.1,0.07,0.14,0.12,0.11,0.13,0.09,0.11,0.07,0.12,0.05,0.0,8.99,2.04,1200.0,1520.0,1460.0,1.62,3.03,1.49,1.98,3.74,1.98,9.62,Downstairs
13.0,33,0.17,0.11,0.08,0.12,0.11,0.11,0.06,0.07,0.12,0.06,0.08,0.08,0.08,0.11,0.09,0.1,0.13,0.09,0.11,0.13,0.11,0.09,0.08,0.12,0.09,0.14,0.1,0.12,0.11,0.07,0.0,9.16,2.2,2016.67,3875.0,2700.0,1.79,2.98,1.58,2.24,3.7,2.24,9.89,Downstairs
14.0,33,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.38,0.08,,,,0.07,0.36,0.07,1.97,9.96,1.97,0.4,Downstairs
15.0,33,0.03,0.11,0.07,0.12,0.08,0.09,0.11,0.12,0.13,0.15,0.08,0.1,0.1,0.1,0.11,0.12,0.09,0.1,0.11,0.11,0.09,0.1,0.13,0.11,0.11,0.11,0.1,0.11,0.06,0.11,0.0,8.83,2.38,1550.0,3325.0,3900.0,1.59,2.71,1.5,2.05,3.4,2.05,9.69,Upstairs
16.0,33,0.15,0.11,0.08,0.1,0.12,0.13,0.08,0.1,0.07,0.08,0.1,0.1,0.1,0.12,0.08,0.09,0.12,0.11,0.11,0.09,0.13,0.09,0.11,0.11,0.06,0.1,0.09,0.08,0.13,0.11,0.0,8.57,2.39,3675.0,1850.0,3525.0,2.14,2.93,1.71,2.78,3.62,2.78,9.75,Upstairs
17.0,33,0.09,0.06,0.11,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.08,0.07,0.07,0.06,0.07,0.07,0.08,0.06,0.04,0.09,0.06,0.06,0.06,0.06,0.09,0.05,0.09,0.08,0.08,0.06,0.0,5.7,1.54,1350.0,1066.67,1833.33,1.44,2.63,0.93,2.75,4.86,2.75,6.42,Upstairs
18.0,33,0.05,0.08,0.08,0.09,0.09,0.1,0.09,0.14,0.14,0.14,0.11,0.07,0.11,0.11,0.09,0.13,0.11,0.1,0.09,0.11,0.08,0.1,0.11,0.09,0.1,0.09,0.14,0.1,0.12,0.09,0.0,9.18,2.32,562.5,1566.67,1562.5,1.45,3.03,1.61,1.82,3.82,1.82,9.84,Downstairs
19.0,33,0.12,0.11,0.09,0.11,0.12,0.11,0.1,0.1,0.05,0.12,0.09,0.12,0.09,0.11,0.11,0.08,0.1,0.09,0.11,0.12,0.1,0.1,0.09,0.11,0.1,0.09,0.11,0.1,0.08,0.13,0.0,9.17,2.3,2000.0,1300.0,4075.0,1.69,3.14,1.81,2.11,3.84,2.11,9.9,Downstairs
20.0,33,0.1,0.07,0.11,0.06,0.04,0.08,0.05,0.05,0.04,0.04,0.07,0.08,0.07,0.06,0.07,0.06,0.05,0.08,0.06,0.05,0.08,0.07,0.05,0.06,0.09,0.06,0.04,0.06,0.07,0.05,0.0,5.33,1.25,1925.0,1633.33,2175.0,1.14,2.39,1.05,2.33,4.96,2.33,5.78,Downstairs
21.0,33,0.01,0.06,0.09,0.08,0.07,0.1,0.11,0.18,0.14,0.16,0.08,0.1,0.1,0.11,0.08,0.08,0.1,0.13,0.12,0.11,0.08,0.11,0.12,0.14,0.09,0.13,0.11,0.08,0.07,0.1,0.0,9.02,2.23,2500.0,1031.25,1640.0,1.21,2.77,1.39,1.55,3.36,1.55,9.67,Upstairs
22.0,33,0.09,0.08,0.06,0.1,0.13,0.11,0.13,0.1,0.12,0.11,0.11,0.1,0.09,0.09,0.12,0.11,0.08,0.11,0.08,0.12,0.11,0.11,0.09,0.08,0.13,0.09,0.1,0.09,0.12,0.1,0.0,8.88,2.41,1216.67,1233.33,3450.0,1.5,2.96,1.68,2.03,3.73,2.03,9.84,Upstairs
23.0,33,0.18,0.14,0.12,0.1,0.07,0.07,0.03,0.01,0.02,0.01,0.08,0.08,0.08,0.09,0.07,0.08,0.09,0.05,0.07,0.05,0.08,0.05,0.04,0.07,0.06,0.07,0.1,0.1,0.1,0.08,0.0,6.15,1.97,733.33,1850.0,1916.67,2.0,2.51,1.25,3.42,4.28,3.42,7.23,Upstairs
24.0,33,0.02,0.07,0.08,0.09,0.09,0.11,0.1,0.14,0.15,0.15,0.1,0.12,0.1,0.1,0.1,0.07,0.12,0.1,0.12,0.09,0.06,0.09,0.14,0.11,0.11,0.09,0.12,0.1,0.1,0.1,0.0,9.0,2.58,1300.0,850.0,2075.0,1.66,3.27,1.76,2.13,3.95,2.13,9.79,Downstairs
25.0,33,0.15,0.12,0.1,0.07,0.13,0.09,0.1,0.1,0.07,0.09,0.1,0.11,0.08,0.11,0.11,0.13,0.07,0.08,0.11,0.11,0.12,0.09,0.08,0.09,0.12,0.1,0.1,0.1,0.1,0.12,0.0,9.15,2.58,3066.67,691.67,1660.0,1.86,3.28,2.03,2.41,4.09,2.41,10.05,Downstairs
26.0,33,0.1,0.1,0.09,0.1,0.06,0.09,0.07,0.04,0.06,0.04,0.07,0.05,0.1,0.07,0.06,0.08,0.09,0.09,0.05,0.08,0.1,0.1,0.05,0.05,0.08,0.08,0.07,0.07,0.08,0.06,0.0,6.74,1.74,1725.0,1108.33,1500.0,1.3,2.58,1.51,2.21,4.59,2.21,7.37,Downstairs
27.0,33,0.05,0.08,0.06,0.05,0.11,0.11,0.14,0.12,0.17,0.11,0.09,0.09,0.11,0.09,0.14,0.12,0.07,0.1,0.07,0.15,0.12,0.09,0.13,0.09,0.09,0.1,0.1,0.12,0.08,0.12,0.0,9.08,2.42,2925.0,543.75,1475.0,1.66,3.09,1.7,2.19,3.78,2.19,9.97,Upstairs
28.0,33,0.11,0.07,0.09,0.11,0.1,0.09,0.1,0.1,0.09,0.15,0.12,0.09,0.13,0.11,0.06,0.09,0.1,0.11,0.14,0.08,0.11,0.12,0.08,0.11,0.11,0.07,0.11,0.08,0.1,0.11,0.0,8.65,2.59,1675.0,3650.0,1100.0,1.79,3.23,1.94,2.32,3.9,2.32,9.8,Upstairs
29.0,33,0.11,0.12,0.12,0.09,0.07,0.04,0.05,0.04,0.02,0.01,0.05,0.08,0.04,0.07,0.06,0.07,0.1,0.06,0.06,0.04,0.03,0.04,0.08,0.06,0.07,0.07,0.08,0.07,0.11,0.04,0.0,5.7,1.69,800.0,600.0,1450.0,1.22,2.56,1.0,2.58,5.04,2.58,6.37,Upstairs
30.0,33,0.06,0.09,0.07,0.12,0.08,0.11,0.12,0.11,0.11,0.12,0.11,0.09,0.08,0.1,0.14,0.09,0.11,0.09,0.12,0.09,0.08,0.08,0.09,0.11,0.09,0.1,0.11,0.13,0.12,0.09,0.0,8.93,2.42,1675.0,1533.33,1387.5,1.67,3.2,1.88,2.27,4.05,2.27,9.74,Downstairs
31.0,33,0.09,0.13,0.13,0.08,0.12,0.1,0.1,0.09,0.11,0.09,0.09,0.14,0.1,0.1,0.07,0.11,0.11,0.09,0.09,0.11,0.12,0.12,0.08,0.1,0.13,0.1,0.09,0.09,0.08,0.1,0.0,8.67,2.03,2266.67,942.86,1283.33,1.52,3.31,2.03,1.94,4.15,1.94,9.45,Downstairs
32.0,33,0.09,0.05,0.05,0.06,0.05,0.07,0.04,0.06,0.04,0.05,0.06,0.03,0.07,0.07,0.04,0.06,0.04,0.08,0.05,0.06,0.04,0.07,0.07,0.06,0.03,0.05,0.06,0.04,0.05,0.07,0.0,5.0,1.33,425.0,808.33,600.0,0.91,2.6,1.18,2.23,6.15,2.23,5.43,Downstairs
33.0,33,0.08,0.1,0.11,0.1,0.16,0.1,0.1,0.12,0.07,0.08,0.11,0.1,0.11,0.1,0.14,0.07,0.09,0.11,0.1,0.05,0.13,0.08,0.07,0.11,0.12,0.11,0.1,0.07,0.11,0.11,0.0,8.94,1.69,1575.0,315.52,3075.0,4.57,6.5,3.94,5.65,7.69,5.65,12.85,Jogging
34.0,33,0.12,0.09,0.11,0.08,0.08,0.09,0.11,0.1,0.11,0.11,0.09,0.09,0.1,0.07,0.12,0.11,0.1,0.09,0.13,0.06,0.07,0.12,0.14,0.1,0.08,0.09,0.12,0.12,0.1,0.07,0.0,10.02,1.52,1633.33,275.71,2700.0,5.7,6.37,3.73,6.82,7.58,6.82,13.93,Jogging
35.0,33,0.07,0.1,0.06,0.1,0.05,0.09,0.07,0.06,0.1,0.09,0.08,0.09,0.07,0.11,0.03,0.1,0.09,0.08,0.05,0.06,0.09,0.08,0.07,0.07,0.08,0.08,0.07,0.09,0.08,0.1,0.0,6.97,1.42,1775.0,291.3,1875.0,4.23,5.49,3.18,6.55,8.2,6.55,10.61,Jogging
36.0,33,0.08,0.08,0.09,0.09,0.1,0.13,0.08,0.15,0.12,0.08,0.09,0.14,0.09,0.08,0.12,0.09,0.09,0.09,0.1,0.12,0.1,0.06,0.13,0.1,0.13,0.09,0.09,0.11,0.11,0.08,0.0,9.59,0.21,2533.33,861.11,1600.0,2.55,4.17,2.27,3.04,5.02,3.04,10.68,Walking
37.0,33,0.11,0.09,0.13,0.1,0.1,0.07,0.09,0.1,0.11,0.11,0.12,0.06,0.07,0.13,0.11,0.1,0.12,0.13,0.09,0.08,0.09,0.13,0.1,0.13,0.09,0.12,0.08,0.08,0.09,0.12,0.0,9.64,0.21,3300.0,1131.25,1650.0,2.64,3.86,2.41,3.12,4.69,3.12,10.86,Walking
38.0,33,0.1,0.11,0.08,0.1,0.1,0.1,0.1,0.05,0.06,0.11,0.08,0.09,0.13,0.08,0.07,0.09,0.09,0.08,0.1,0.1,0.08,0.13,0.05,0.06,0.07,0.08,0.12,0.1,0.1,0.09,0.0,8.49,0.53,1337.5,655.56,1320.0,2.29,3.78,2.28,3.09,4.96,3.09,9.67,Walking
39.0,33,0.06,0.08,0.12,0.15,0.2,0.1,0.08,0.11,0.06,0.06,0.08,0.09,0.14,0.1,0.1,0.13,0.09,0.09,0.1,0.03,0.13,0.06,0.09,0.1,0.08,0.11,0.14,0.12,0.08,0.11,0.0,9.7,0.69,1800.0,236.49,1600.0,4.6,6.35,3.72,5.88,7.73,5.88,13.26,Jogging
40.0,33,0.12,0.06,0.12,0.11,0.06,0.11,0.1,0.16,0.1,0.08,0.07,0.13,0.1,0.1,0.1,0.1,0.08,0.08,0.12,0.04,0.1,0.09,0.09,0.11,0.09,0.13,0.14,0.11,0.06,0.1,0.0,10.48,0.76,2975.0,221.43,1700.0,6.06,6.6,3.33,7.15,7.8,7.15,14.48,Jogging
41.0,33,0.13,0.1,0.08,0.08,0.09,0.11,0.07,0.12,0.16,0.07,0.1,0.12,0.09,0.13,0.07,0.08,0.1,0.08,0.13,0.03,0.1,0.11,0.1,0.1,0.12,0.13,0.09,0.1,0.08,0.1,0.0,10.04,0.72,1750.0,242.5,1683.33,6.24,6.73,3.36,7.32,7.9,7.32,14.28,Jogging
42.0,33,0.16,0.12,0.06,0.05,0.07,0.13,0.11,0.1,0.11,0.1,0.1,0.12,0.12,0.08,0.09,0.08,0.13,0.14,0.08,0.02,0.15,0.1,0.14,0.06,0.09,0.1,0.09,0.07,0.11,0.12,0.0,9.41,0.22,1350.0,287.88,4000.0,6.65,7.05,4.12,7.66,8.49,7.66,14.63,Jogging
43.0,33,0.09,0.12,0.11,0.12,0.08,0.1,0.09,0.1,0.08,0.13,0.09,0.11,0.11,0.1,0.08,0.12,0.09,0.11,0.12,0.02,0.11,0.11,0.08,0.07,0.11,0.09,0.09,0.16,0.1,0.11,0.0,10.18,0.96,2950.0,278.57,2075.0,6.03,6.45,3.43,7.3,7.63,7.3,14.18,Jogging
44.0,33,0.09,0.1,0.12,0.11,0.1,0.1,0.1,0.12,0.09,0.1,0.13,0.1,0.1,0.12,0.11,0.09,0.07,0.09,0.11,0.03,0.06,0.14,0.08,0.11,0.1,0.12,0.06,0.13,0.12,0.1,0.0,9.47,0.91,1616.67,310.34,4250.0,6.05,6.71,3.18,7.32,7.96,7.32,13.71,Jogging
45.0,33,0.09,0.12,0.1,0.09,0.09,0.07,0.12,0.07,0.12,0.15,0.09,0.1,0.09,0.08,0.09,0.11,0.12,0.15,0.09,0.01,0.11,0.09,0.12,0.12,0.09,0.08,0.07,0.11,0.15,0.08,0.0,10.45,0.68,2262.5,276.47,4225.0,6.54,6.46,3.44,7.87,7.85,7.87,14.85,Jogging
46.0,33,0.1,0.12,0.11,0.09,0.06,0.1,0.13,0.11,0.11,0.11,0.15,0.1,0.11,0.08,0.08,0.13,0.12,0.08,0.07,0.01,0.07,0.1,0.13,0.08,0.12,0.09,0.11,0.09,0.11,0.12,0.0,9.04,0.95,900.0,346.43,4425.0,6.44,6.81,3.29,7.59,7.93,7.59,13.68,Jogging
47.0,33,0.08,0.09,0.08,0.11,0.19,0.08,0.12,0.06,0.08,0.11,0.11,0.05,0.05,0.11,0.17,0.11,0.11,0.1,0.1,0.02,0.08,0.11,0.11,0.16,0.13,0.06,0.1,0.06,0.11,0.07,0.0,9.81,0.44,875.0,326.09,1187.5,5.29,5.65,3.09,6.91,7.54,6.91,13.49,Jogging
48.0,17,0.15,0.24,0.1,0.08,0.11,0.09,0.08,0.03,0.08,0.06,0.1,0.07,0.07,0.09,0.07,0.26,0.08,0.09,0.1,0.1,0.07,0.11,0.06,0.08,0.11,0.15,0.17,0.07,0.12,0.08,0.0,9.92,-0.06,1100.0,1000.0,1500.0,2.04,2.4,1.6,2.8,3.2,2.8,10.53,Walking
49.0,17,0.08,0.05,0.1,0.1,0.13,0.14,0.1,0.11,0.1,0.11,0.12,0.07,0.11,0.13,0.07,0.07,0.13,0.12,0.13,0.07,0.08,0.07,0.09,0.12,0.1,0.13,0.09,0.14,0.1,0.1,0.0,9.71,-0.06,2183.33,2012.5,2516.67,2.98,2.82,1.74,3.51,3.35,3.51,10.55,Walking
50.0,17,0.1,0.09,0.11,0.08,0.1,0.14,0.08,0.11,0.13,0.09,0.12,0.11,0.12,0.07,0.12,0.07,0.07,0.12,0.12,0.11,0.12,0.09,0.11,0.1,0.11,0.1,0.1,0.1,0.08,0.11,0.0,9.69,-0.28,2325.0,1462.5,725.0,2.96,2.94,1.82,3.58,3.52,3.58,10.61,Walking
51.0,17,0.12,0.11,0.08,0.08,0.11,0.1,0.15,0.09,0.07,0.12,0.12,0.12,0.1,0.11,0.07,0.11,0.1,0.09,0.1,0.1,0.11,0.13,0.08,0.06,0.11,0.1,0.12,0.11,0.1,0.1,0.0,9.63,-0.15,2016.67,1250.0,857.14,2.84,2.83,1.92,3.53,3.44,3.53,10.56,Walking
52.0,17,0.13,0.12,0.05,0.1,0.09,0.09,0.12,0.11,0.11,0.09,0.12,0.07,0.14,0.11,0.08,0.07,0.12,0.09,0.12,0.11,0.12,0.13,0.09,0.11,0.13,0.07,0.09,0.09,0.1,0.11,0.0,9.75,-0.29,3200.0,642.31,1280.0,2.85,2.83,1.89,3.51,3.38,3.51,10.65,Walking
53.0,17,0.13,0.09,0.1,0.08,0.11,0.08,0.11,0.1,0.1,0.11,0.1,0.1,0.08,0.14,0.08,0.13,0.09,0.12,0.09,0.09,0.1,0.1,0.11,0.12,0.1,0.1,0.07,0.1,0.11,0.11,0.0,9.67,-0.09,1112.5,1056.25,2116.67,2.85,2.64,1.93,3.52,3.26,3.52,10.59,Walking
54.0,17,0.14,0.08,0.08,0.14,0.1,0.08,0.09,0.08,0.12,0.11,0.1,0.12,0.09,0.1,0.11,0.07,0.11,0.1,0.11,0.11,0.11,0.13,0.07,0.14,0.07,0.08,0.09,0.13,0.09,0.11,0.0,9.7,-0.22,1616.67,911.11,1525.0,2.79,2.79,1.86,3.5,3.38,3.5,10.61,Walking
55.0,17,0.12,0.1,0.12,0.09,0.09,0.09,0.1,0.12,0.1,0.1,0.08,0.12,0.12,0.07,0.12,0.11,0.09,0.12,0.08,0.12,0.11,0.1,0.12,0.13,0.12,0.09,0.06,0.11,0.09,0.1,0.0,9.76,-0.21,2833.33,745.0,2250.0,2.82,2.68,1.85,3.52,3.27,3.52,10.65,Walking
56.0,17,0.09,0.09,0.11,0.13,0.08,0.1,0.11,0.1,0.13,0.09,0.08,0.13,0.1,0.11,0.09,0.1,0.12,0.08,0.08,0.13,0.1,0.11,0.09,0.11,0.11,0.1,0.09,0.11,0.11,0.09,0.0,9.79,-0.21,1156.25,762.5,1000.0,2.86,2.79,1.8,3.49,3.4,3.49,10.66,Walking
57.0,17,0.11,0.09,0.1,0.12,0.1,0.07,0.1,0.08,0.12,0.12,0.11,0.09,0.08,0.11,0.11,0.09,0.14,0.1,0.09,0.1,0.08,0.11,0.13,0.13,0.09,0.1,0.08,0.11,0.09,0.11,0.0,9.7,-0.11,805.56,1800.0,1285.71,2.87,2.71,1.9,3.56,3.3,3.56,10.61,Walking
58.0,17,0.06,0.09,0.12,0.09,0.14,0.12,0.12,0.12,0.05,0.11,0.09,0.1,0.1,0.12,0.11,0.07,0.13,0.1,0.13,0.08,0.1,0.07,0.13,0.08,0.1,0.13,0.08,0.13,0.11,0.1,0.0,9.74,-0.02,1683.33,1221.43,2250.0,2.81,2.63,1.87,3.38,3.16,3.38,10.59,Walking
59.0,17,0.05,0.09,0.13,0.09,0.1,0.09,0.13,0.11,0.13,0.1,0.09,0.13,0.11,0.13,0.09,0.11,0.06,0.09,0.13,0.08,0.1,0.12,0.08,0.09,0.07,0.15,0.09,0.12,0.1,0.11,0.0,9.58,-0.13,2337.5,1900.0,1500.0,2.96,2.66,1.79,3.51,3.22,3.51,10.46,Walking
60.0,17,0.06,0.1,0.08,0.12,0.11,0.14,0.09,0.09,0.11,0.12,0.11,0.09,0.09,0.12,0.12,0.06,0.11,0.1,0.08,0.13,0.1,0.09,0.12,0.1,0.09,0.14,0.09,0.09,0.1,0.1,0.0,9.76,-0.12,1290.0,1380.0,2725.0,2.97,2.77,1.87,3.58,3.37,3.58,10.69,Walking
61.0,17,0.07,0.12,0.1,0.11,0.1,0.07,0.07,0.15,0.11,0.11,0.1,0.11,0.12,0.07,0.12,0.1,0.07,0.13,0.08,0.13,0.12,0.13,0.07,0.14,0.07,0.13,0.07,0.09,0.08,0.12,0.0,9.76,-0.18,3450.0,822.22,1090.0,2.99,2.83,1.92,3.65,3.46,3.65,10.71,Walking
62.0,17,0.06,0.1,0.1,0.08,0.09,0.11,0.1,0.09,0.1,0.08,0.07,0.09,0.1,0.06,0.14,0.1,0.1,0.09,0.08,0.08,0.07,0.07,0.08,0.05,0.08,0.09,0.09,0.15,0.15,0.07,0.0,8.6,0.13,2266.67,942.86,1333.33,2.51,2.35,1.51,3.44,3.32,3.44,9.33,Walking
63.0,17,0.07,0.17,0.28,0.2,0.08,0.04,0.08,0.05,0.04,0.02,0.05,0.06,0.09,0.1,0.24,0.08,0.09,0.1,0.11,0.04,0.06,0.09,0.18,0.17,0.12,0.07,0.07,0.12,0.08,0.06,0.0,9.39,-0.17,475.0,318.42,600.0,2.98,5.2,2.19,3.9,6.73,3.9,11.43,Jogging
64.0,17,0.11,0.07,0.12,0.11,0.1,0.14,0.11,0.11,0.08,0.07,0.1,0.12,0.11,0.09,0.08,0.08,0.09,0.09,0.13,0.08,0.11,0.12,0.11,0.11,0.09,0.12,0.07,0.08,0.11,0.11,0.0,8.72,0.04,500.0,307.81,1250.0,4.82,7.08,2.77,5.69,8.11,5.69,12.38,Jogging
65.0,17,0.11,0.11,0.11,0.13,0.08,0.05,0.11,0.13,0.07,0.11,0.11,0.12,0.08,0.12,0.03,0.1,0.13,0.08,0.12,0.07,0.09,0.14,0.12,0.11,0.11,0.1,0.08,0.07,0.11,0.1,0.0,8.76,-0.02,3875.0,397.92,912.5,4.96,7.17,2.68,5.98,8.14,5.98,12.57,Jogging
66.0,17,0.14,0.09,0.14,0.09,0.06,0.09,0.06,0.12,0.09,0.14,0.1,0.13,0.13,0.09,0.06,0.08,0.09,0.09,0.14,0.04,0.14,0.14,0.11,0.06,0.08,0.08,0.08,0.11,0.13,0.08,0.0,8.23,-0.35,4600.0,344.44,2400.0,5.41,7.28,3.06,6.56,8.24,6.56,12.55,Jogging
67.0,17,0.09,0.05,0.1,0.14,0.08,0.1,0.1,0.13,0.07,0.15,0.1,0.07,0.09,0.13,0.11,0.12,0.1,0.08,0.12,0.04,0.15,0.12,0.06,0.08,0.07,0.09,0.15,0.12,0.08,0.11,0.0,8.84,-0.18,1583.33,410.87,2683.33,5.5,6.29,3.01,6.52,7.57,6.52,12.73,Jogging
68.0,17,0.06,0.17,0.08,0.1,0.12,0.12,0.07,0.11,0.1,0.1,0.12,0.14,0.06,0.1,0.09,0.13,0.08,0.1,0.1,0.05,0.1,0.1,0.1,0.11,0.09,0.06,0.12,0.12,0.09,0.11,0.0,8.17,0.3,1430.0,445.45,1575.0,4.85,6.96,2.8,5.87,8.1,5.87,12.05,Jogging
69.0,17,0.07,0.14,0.11,0.13,0.08,0.09,0.11,0.09,0.09,0.11,0.14,0.09,0.09,0.07,0.11,0.09,0.09,0.09,0.14,0.06,0.1,0.08,0.11,0.1,0.1,0.09,0.12,0.08,0.12,0.11,0.0,8.41,0.19,300.0,423.91,1537.5,4.97,7.27,2.73,5.98,8.4,5.98,12.49,Jogging
70.0,17,0.12,0.13,0.09,0.1,0.07,0.07,0.16,0.11,0.1,0.09,0.12,0.14,0.09,0.12,0.1,0.08,0.11,0.1,0.06,0.05,0.17,0.05,0.1,0.09,0.1,0.11,0.11,0.12,0.1,0.08,0.0,7.59,-0.19,1125.0,508.33,1975.0,4.86,6.7,2.77,5.83,7.68,5.83,11.47,Jogging
71.0,17,0.12,0.09,0.09,0.08,0.11,0.1,0.1,0.1,0.13,0.1,0.1,0.12,0.13,0.1,0.11,0.08,0.07,0.1,0.09,0.05,0.1,0.08,0.08,0.09,0.12,0.1,0.13,0.14,0.11,0.09,0.0,8.05,0.29,2700.0,433.33,2100.0,5.25,6.7,2.51,6.16,7.77,6.16,11.77,Jogging
72.0,17,0.09,0.11,0.07,0.08,0.11,0.11,0.11,0.09,0.12,0.12,0.1,0.1,0.12,0.1,0.06,0.14,0.11,0.1,0.07,0.04,0.09,0.1,0.11,0.11,0.11,0.1,0.09,0.1,0.08,0.15,0.0,8.56,0.43,4850.0,406.25,1675.0,5.42,6.82,2.78,6.41,7.88,6.41,12.42,Jogging
